gid;nom;arrete_pref_numero;xy_precis;id_adr;adr_num;adr_voie;com_cp;com_insee;com_nom;lat_coor1;long_coor1;structure_siren;structure_type;structure_rais;structure_num;structure_voie;structure_cp;structure_insee;structure_com;_userid_creation;_userid_modification;_edit_datemaj;lieu_accessibilite;rdv_lundi;rdv_mardi;rdv_mercredi;rdv_jeudi;rdv_vendredi;rdv_samedi;rdv_dimanche;rdv;date_fermeture;date_ouverture;rdv_site_web;rdv_tel;rdv_tel2;rdv_modalites;rdv_consultation_prevaccination;centre_svi_repondeur;centre_fermeture;reserve_professionels_sante
89;Nancy - Tour Marcel Brot;;0.99999579947866;54395_2880_00001;1;Rue Joseph Cugnot;54000;54395;Nancy;48.6779;6.20247;130007834;8412Z;AGENCE REGIONALE DE SANTE GRAND EST;3;BD JOFFRE;54000;54395;NANCY;15;11476;2021-03-09 00:07:17.156281;;9:00-17:00;9:00-17:00;9:00-17:00;9:00-17:00;9:00-17:00;non précisé;non précisé;t;;2021-01-04;https://partners.doctolib.fr/centre-de-vaccinations-internationales/nancy/centre-de-vaccination-covid-19-nancy?speciality_id=5494&pid=practice-162727&enable_cookies_consent=1;+33383851300;;;f;;;
1220;Centre de vaccination - Centre de soins non programmés - Ville d'Andrézieux-Bouthéon;;0.99999991765947;42005_0620_00012;14;Rue Claude Limousin;42160;42005;Andrézieux-Bouthéon;45.526;4.25364;130008071;8412Z;AGENCE REGIONALE DE SANTE AUVERGNE-RHONE-ALPES;241;RUE GARIBALDI;69003;69383;LYON 3EME;18075;315;2021-02-12 07:36:47.538283;;12:00-17:00;12:00-17:00;12:00-17:00;12:00-17:00;12:00-17:00;fermé;fermé;;;;https://partners.doctolib.fr/centre-de-vaccinations-internationales/andrezieux-boutheon/centre-de-vaccination-covid-19-andrezieux-boutheon?pid=practice-165752&enable_cookies_consent=1;+33477557093;;ouverture du standard pour la prise de rendez vous = 9h-16h ;;;;
1568;Centre de vaccination de Saint-Jean-en-Royans;;0.99999996364357;26307_0085_00012;3;Rue des Ecoles;26190;26307;Saint-Jean-en-Royans;45.0175;5.2895;130008071;8412Z;AGENCE REGIONALE DE SANTE AUVERGNE-RHONE-ALPES;241;GARIBALDI RUE;69003;69383;LYON 3EME;18236;18235;2021-03-09 17:02:25.367414;oui;fermé;14:00-17:00;14:00-17:00;14:00-17:00;14:00-17:00;fermé;fermé;t;;2021-03-01;https://partners.doctolib.fr/centre-de-sante/saint-jean-en-royans/centre-de-vaccination-saint-jean-en-royans?pid=practice-172946&enable_cookies_consent=1;+33671040154;;;t;;;
1438;DOL DE BGNE-Club de l'amitié;;0.99999998146858;35095_0530_00019;21;Rue Eléonor Daubrée;35120;35095;Dol-de-Bretagne;48.5495;-1.74728;130007966;8412Z;AGENCE REGIONALE DE SANTE DE BRETAGNE;6;DES COLOMBES PL;35000;35238;RENNES;18078;18078;2021-02-25 15:52:30.996511;;fermé;9h-12h / 14h-17h;9h-12h / 14h-17h;9h-12h / 14h-17h;9h-12h / 14h-17h;fermé;fermé;;;2021-02-22;https://partners.doctolib.fr/centre-de-sante/dol-de-bretagne/centre-de-vaccination-dol-de-bretagne?pid=practice-165293&enable_cookies_consent=1;+33805690821;;;;;;
1077;Plaine orientale Sud;;0.99999873732983;2b251_b269;;Ancienne Pharmacie Taddei Migliacciaru;20243;2B251;Prunelli-di-Fiumorbo;42.0107;9.32479;130007990;8412Z;AGENCE REGIONALE DE SANTE DE CORSE;;QUA SAINT JOSEPH;20090;2A004;AJACCIO;12661;12661;2021-02-22 09:10:07.79703;;09:00-12:00/15:00-18:00;09:00-12:00/15:00-18:00;09:00-12:00/15:00-18:00;09:00-12:00/15:00-18:00;09:00-12:00/15:00-18:00;fermé;fermé;t;;2021-01-20;https://partners.doctolib.fr/centre-de-sante/prunelli-di-fiumorbo/centre-de-vaccination-covid-prunelli-prunelli-di-fiumorbo?speciality_id=5494&enable_cookies_consent=1;+33495376355;;;t;;;
428;CH Ploërmel;;0.99999922797173;56165_0321_00007;7;Rue du Roi Arthur - Bâtiment Le Cloitre;56800;56165;Ploërmel;47.9347;-2.39222;130007966;8412Z;AGENCE REGIONALE DE SANTE DE BRETAGNE;6;PL DES COLOMBES;35000;35238;RENNES;18078;18;2021-02-15 08:45:30.072331;;14h-19h;9h-13h / 14h-18h;9h-13h / 14h-18h;9h-13h / 14h-18h;9h-13h / 14h-18h;9h-17h;fermé;;;2021-01-21;https://partners.doctolib.fr/hopital-public/ploermel/ghba-centre-de-vaccination-covid-ploermel?pid=practice-163739&enable_cookies_consent=1;+33297019956;;;;;;
83;Site gériatrique de l'Ayguerote CH de Bigorre;;0.99999815608012;65440_0320_00002;2;Rue de l'Ayguerote;65000;65440;Tarbes;43.2345;0.0665153;130008048;8412Z;AGENCE REGIONALE DE SANTE OCCITANIE;1025;AV HENRI BECQUEREL;34000;34172;MONTPELLIER;11;18134;2021-02-12 15:38:45.955621;oui;9:00-12h/13:00-17:00;9:00-12h/13:00-17:00;9:00-12h/13:00-17:00;9:00-12h/13:00-17:00;9:00-12h/13:00-17:00;9:00-12h/13:00-17:00;fermé;t;;2021-01-06;https://partners.doctolib.fr/hopital-public/tarbes/centre-de-vaccination-tarbes-ayguerote?speciality_id=5494&enable_cookies_consent=1;+33800541919;;réservé aux professionnels de santé libéraux;t;;;t
576;Salles des fêtes - place centrale;;0.99999998144779;50203_0130;;;50110;50129;Cherbourg-en-Cotentin;49.6213;-1.61351;130007909;8412Z;AGENCE REGIONALE DE SANTE NORMANDIE;2;PL JEAN NOUZILLE;14000;14118;CAEN;11533;18092;2021-02-05 08:46:48.537327;;;;;;;;;t;;2021-01-18;https://vaccination-covid.keldoc.com/cabinet-medical/cherbourg-octeville-50100/cpts-nord-cotentin?motive=81940&category=-1&cabinet=16689&specialty=496;+33279461156;;;;;;
2318;Centre de vaccination - SEICHES SUR LE LOIRE - Hall de sport;;0.999999810622;49333_0056_00005;;Rue Henri Regnier;49140;49333;Seiches-sur-le-Loir;47.5751;-0.357154;130008006;8412Z;AGENCE REGIONALE DE SANTE PAYS DE LOIRE;17;BD GASTON DOUMERGUE;44200;44109;NANTES;10695;10695;2021-03-31 15:50:31.671396;;fermé;fermé;fermé;fermé;fermé;fermé;fermé;;;;;;;;;;t;
2180;Centre de vaccination - Commune de Masnières, Salle du Bicentenaire;;0.99999994603628;59389_0300_00002;;Place Jacques-Duclos;59241;59389;Masnières;50.1141;3.21031;130007974;8412Z;AGENCE REGIONALE DE SANTE HAUTS-DE-FRANCE;556;AV WILLY BRANDT;59777;59350;LILLE;101;101;2021-03-29 12:18:22.639831;;fermé;fermé;fermé;fermé;fermé;;;;;2021-03-27;https://partners.doctolib.fr/centre-de-sante/faverges/centre-de-vaccination-de-faverges-seythenex?pid=practice-179054&enable_cookies_consent=1;;;;;;;
